customer_id,date,ad_network_type,device,clicks,cost_micros,impressions,conversions,conversions_value,view_through_conversions,_fivetran_synced
1234567890,2022-07-20,SEARCH,DESKTOP,12,15000000,1250,0,0,2,2024-12-01 00:00:00
1234567890,2022-07-20,SEARCH,MOBILE,8,8500000,890,0,0,1,2024-12-01 00:00:00
1234567890,2022-07-21,SEARCH,DESKTOP,15,18000000,1420,0,0,1,2024-12-01 00:00:00
1234567890,2022-07-21,SEARCH,MOBILE,11,12000000,1100,0,0,2,2024-12-01 00:00:00
1234567890,2022-08-10,SEARCH,DESKTOP,18,22000000,1680,1,38.99,3,2024-12-01 00:00:00
1234567890,2022-08-10,SEARCH,MOBILE,14,16000000,1350,0,0,1,2024-12-01 00:00:00
1234567890,2022-09-08,SEARCH,DESKTOP,22,25000000,1890,1,41.99,2,2024-12-01 00:00:00
1234567890,2022-09-08,SEARCH,MOBILE,16,18000000,1520,0,0,3,2024-12-01 00:00:00
1234567890,2023-01-15,SEARCH,DESKTOP,28,32000000,2340,2,89.98,4,2024-12-01 00:00:00
1234567890,2023-01-15,SEARCH,MOBILE,20,23000000,1890,1,45.99,2,2024-12-01 00:00:00
1234567890,2023-06-20,SEARCH,DESKTOP,35,38000000,2890,3,134.97,5,2024-12-01 00:00:00
1234567890,2023-06-20,SEARCH,MOBILE,26,28000000,2450,2,78.98,3,2024-12-01 00:00:00
1234567890,2024-03-10,SEARCH,DESKTOP,42,45000000,3420,4,189.96,6,2024-12-01 00:00:00
1234567890,2024-03-10,SEARCH,MOBILE,32,35000000,2980,3,123.97,4,2024-12-01 00:00:00
1234567890,2025-06-15,SEARCH,DESKTOP,48,52000000,3890,5,234.95,7,2024-12-01 00:00:00
1234567890,2025-06-15,SEARCH,MOBILE,38,42000000,3450,4,178.96,5,2024-12-01 00:00:00
